Year,Agriculture,Aluminum Cans,,Anti-freeze,Appliances/White Goods,,,"Ash,Sand &Dust used",,Asphalt/Concrete,,Batteries,,,
2000,0,17994,,2475,35427,,,10000,,8932218,,10757,,,
2001,0,12540,,4157,39180,,,12333,,1116871,,16297,,,
2002,0,12718,,4506,43833,,,290,,1455195,,12158,,,
2003,0,17608,,4722,53353,,,10576,,1600288,,18780,,,
2004,0,16010,,8050,47302,,,40409,,2002171,,25518,,,
2005,0,15441,,8767,49796,,,14588,,151005,,25870,,,
2006,0,14951,,7507,39777,,,40080,,210487,,21493,,,
2007,0,14005,,6586,54578,,,25421,,2215898,,26968,,,
2008,31800,12842,,5194,31193,,,0,,2354878,,26785,,,
2009,45431,21098,,4804,37882,,,344,,2196780,,21548,,,
2010,55689,13655,,4955,56920,,,0,,2881220,,19198,,,
2011,76645,13115,,4872,44174,,,20364,,2211889,,27297,,,
2012,102732,13635,,6797,54578,,,0,,1887580,,23356,,,
2013,97270,16679,,4804,31192,,,0,,2196139,,21744,,,
2014,66660,14309,,4955,37882,,,0,,2389936,,19198,,,
,,,,,,,,,,,,,,,
